Title: The Carnegie Supernova Project I: Third Photometry Data Release of 
       Low-Redshift Type Ia Supernovae and Other White Dwarf Explosions  
Authors: Krisciunas K., Contreras C., Burns C.R., Phillips M.M., 
         Stritzinger M.D., Morrell N., Hamuy M., Anais J., Boldt L., Busta L., 
         Campillay A., Castellon S., Folatelli G., Freedman W.L., Gonzalez C., 
         Hsiao E.Y., Krzeminski W., Persson S.E., Roth M., Salgado F., Seron J.,
         Suntzeff N.B., Torres S., Filippenko A.V., Li W., Madore B.F., 
         Depoy D.L., Marshall J.L., Rheault J.-P., Villanueva S. 
Table: Infrared Photometry of SNe in Natural System of Swope (+RetroCam)
================================================================================
Byte-by-byte Description of file: ajaa8df0t11_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     SN     Supernova identifier
  10- 19 F10.2  d       JD     Julian Date of observation 
  21- 26 F6.3   mag     Ymag   Final, apparent Y band magnitude (1)
  28- 32 F5.3   mag   e_Ymag   The 1{sigma} uncertainty in Ymag (1)
  34- 39 F6.3   mag     Jmag   Final, apparent J band magnitude (1)
  41- 45 F5.3   mag   e_Jmag   The 1{sigma} uncertainty in Jmag (1)
  47- 52 F6.3   mag     Hmag   Final, apparent H band magnitude (1)
  54- 58 F5.3   mag   e_Hmag   The 1{sigma} uncertainty in Hmag (1)
--------------------------------------------------------------------------------
Note (1): The photometry presented here was obtained with the J-band filter 
          RC1, which was used after 15 January 2009.  A 0.000 {+/-} 0.000 
          indicates no data.
--------------------------------------------------------------------------------
SN2008hv 2454849.78 15.764 0.012 16.960 0.024 16.332 0.036 
SN2008hv 2454849.79 15.769 0.016 16.988 0.025 16.336 0.033 
SN2008hv 2454854.78 16.090 0.013 17.521 0.036 16.634 0.044 
SN2008hv 2454854.79 16.088 0.013 17.463 0.036 16.700 0.046 
SN2008hv 2454868.66 16.971 0.020 18.370 0.100 17.252 0.047 
SN2008hv 2454868.67 16.985 0.021 18.561 0.100 17.283 0.048 
SN2008hv 2454875.65 17.339 0.018 18.867 0.112 17.549 0.065 
SN2008hv 2454875.66 17.333 0.026 19.074 0.112 17.584 0.074 
SN2008hv 2454887.66 17.970 0.036  0.000 0.000  0.000 0.000 
SN2008hv 2454887.66 17.996 0.037  0.000 0.000  0.000 0.000 
SN2008hv 2454889.66 18.131 0.052  0.000 0.000  0.000 0.000 
SN2008hv 2454889.67 18.046 0.047  0.000 0.000  0.000 0.000 
SN2008hv 2454895.58 18.212 0.051  0.000 0.000  0.000 0.000 
SN2008hv 2454895.59 18.283 0.051  0.000 0.000  0.000 0.000 
SN2008hv 2454899.62 18.339 0.069  0.000 0.000  0.000 0.000 
