Title: The Carnegie Supernova Project I: Third Photometry Data Release of 
       Low-Redshift Type Ia Supernovae and Other White Dwarf Explosions  
Authors: Krisciunas K., Contreras C., Burns C.R., Phillips M.M., 
         Stritzinger M.D., Morrell N., Hamuy M., Anais J., Boldt L., Busta L., 
         Campillay A., Castellon S., Folatelli G., Freedman W.L., Gonzalez C., 
         Hsiao E.Y., Krzeminski W., Persson S.E., Roth M., Salgado F., Seron J.,
         Suntzeff N.B., Torres S., Filippenko A.V., Li W., Madore B.F., 
         Depoy D.L., Marshall J.L., Rheault J.-P., Villanueva S. 
Table: Optical Photometry of SNe in Natural System of Swope (+SITe3)
================================================================================
Byte-by-byte Description of file: ajaa8df0t7_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     SN     Supernova identifier
  10- 19 F10.2  d       JD     Julian Date of observation 
  21- 26 F6.3   mag     umag   Final, apparent u band magnitude (1)
  28- 32 F5.3   mag   e_umag   The 1{sigma} uncertainty in umag (1)
  34- 39 F6.3   mag     gmag   Final, apparent g band magnitude (1)
  41- 45 F5.3   mag   e_gmag   The 1{sigma} uncertainty in gmag (1)
  47- 52 F6.3   mag     rmag   Final, apparent r band magnitude (1)
  54- 58 F5.3   mag   e_rmag   The 1{sigma} uncertainty in rmag (1)
  60- 65 F6.3   mag     imag   Final, apparent i band magnitude (1)
  67- 71 F5.3   mag   e_imag   The 1{sigma} uncertainty in imag (1)
  73- 78 F6.3   mag     Bmag   Final, apparent B band magnitude (1)
  80- 84 F5.3   mag   e_Bmag   The 1{sigma} uncertainty in Bmag (1)
  86- 91 F6.3   mag     Vmag   Final, apparent V band magnitude (1)
  93- 97 F5.3   mag   e_Vmag   The 1{sigma} uncertainty in Vmag (1)
--------------------------------------------------------------------------------
Note (1): A 0.000 {+/-} 0.000 indicates no data.
--------------------------------------------------------------------------------
SN2004dt 2453249.79 16.665 0.017 15.593 0.006 15.659 0.006 16.079 0.008 15.769 0.006 15.575 0.006 
SN2004dt 2453250.81 16.804 0.012 15.675 0.009 15.695 0.008 16.112 0.010 15.859 0.008 15.630 0.009 
SN2004dt 2453251.83 16.912 0.012 15.769 0.009 15.745 0.010 16.111 0.009 15.961 0.009 15.677 0.008 
SN2004dt 2453252.86 17.069 0.014 15.846 0.006 15.796 0.006 16.117 0.007 16.069 0.007 15.723 0.006 
SN2004dt 2453253.78 17.158 0.012 15.915 0.006 15.785 0.006 16.091 0.005 16.142 0.014 15.770 0.006 
SN2004dt 2453256.75 17.637 0.010 16.241 0.006 15.807 0.006 16.024 0.007 16.573 0.007 15.950 0.006 
SN2004dt 2453257.73 17.787 0.013 16.357 0.008 15.833 0.012 16.029 0.009 16.715 0.008 16.012 0.008 
SN2004dt 2453258.76 17.929 0.012 16.484 0.006 15.857 0.006 16.007 0.005 16.858 0.008 16.078 0.008 
SN2004dt 2453259.78 18.060 0.013 16.618 0.006 15.899 0.006 15.993 0.005 16.995 0.007 16.151 0.006 
SN2004dt 2453260.80 18.215 0.012 16.724 0.008 15.926 0.009 15.995 0.009 17.126 0.008 16.227 0.008 
SN2004dt 2453261.71 18.349 0.014 16.844 0.008 15.950 0.009 15.981 0.010 17.239 0.011 16.325 0.010 
SN2004dt 2453262.70 18.461 0.014 16.970 0.010 16.058 0.010 16.021 0.010 17.388 0.009 16.402 0.009 
SN2004dt 2453263.76 18.611 0.017 17.068 0.013 16.130 0.013 16.093 0.016 17.515 0.014 16.518 0.013 
SN2004dt 2453264.75 18.736 0.020 17.219 0.011 16.160 0.011 16.143 0.016 17.612 0.014 16.589 0.013 
SN2004dt 2453265.79 18.807 0.015 17.312 0.010 16.239 0.008 16.163 0.009 17.712 0.013 16.660 0.009 
